ticker_symbol,market_cap
NVR,20411885568
NXPI,53800570880
ORLY,57657188352
OXY,52800221184
ODFL,40337682432
OMC,19065653248
ON,41818263552
OKE,27920568320
ORCL,317975560192
OGN,5246625280
OTIS,36621717504
PCAR,43708506112
PKG,11925909504
PANW,77882916864
PARA,10738412544
PH,50165018624
PAYX,40185937920
PAYC,18497400832
PYPL,75979849728
PNR,10551852032
PEP,255699271680
PFE,206900625408
PCG,40535080960
PM,152860655616
PSX,43894743040
PNW,9257544704
PXD,48556318720
PNC,50971443200
POOL,14501910528
PPG,35084820480
PPL,19657605120
PFG,18594136064
PG,359437926400
PGR,77618184192
PLD,114371264512
PRU,32539750400
PEG,31369928704
PTC,16609659904
PSA,51653844992
PHM,17252982784
QRVO,10181677056
PWR,28412395520
QCOM,133780258816
DGX,15586052096
RL,8072924672
RJF,22030268416
RTX,143761555456
O,40527966208
REG,10713079808
REGN,78781652992
RF,17161708544
RSG,47885090816
RMD,31538739200
RVTY,14769423360
RHI,8140417024
ROK,37847867392
ROL,20854745088
ROP,50885955584
ROST,37857099776
RCL,26392055808
SPGI,127331942400
CRM,206147092480
SBAC,25354575872
SLB,70511075328
STX,12876358656
SEE,5831750656
SRE,45681319936
NOW,114679136256
SHW,68116488192
SPG,43805380608
SWKS,17777614848
SJM,15346848768
SNA,15184015360
SEDG,15236734976
SO,76949528576
LUV,22041505792
SWK,14164196352
SBUX,113665564672
STT,24848814080
STLD,18725586944
STE,21618380800
SYK,113123180544
SYF,14734271488
SNPS,66038964224
SYY,38222581760
TMUS,167180681216
TROW,25435025408
TTWO,25015711744
TPR,10090166272
TRGP,17405724672
TGT,62245982208
TEL,44235845632
TDY,19309867008
TFX,11213553664
TER,17291499520
TSLA,886889512960
TXN,163159883776
TXT,13722307584
TMO,200231616512
TJX,96811982848
TSCO,24217815040
TT,43603542016
TDG,49240473600
TRV,39979806720
TRMB,12927438848
TFC,41808969728
TYL,17286219776
TSN,18424207360
USB,51475460096
UDR,24000950272
ULTA,23772794880
UNP,125676429312
UAL,18057973760
UPS,157837492224
URI,30834878464
UNH,444921577472
UHS,10906674176
VLO,42452938752
VTR,19306508288
VRSN,23204040704
VRSK,32215998464
VZ,156724740096
VRTX,89517350912
VFC,7440043008
VTRS,11858407424
VICI,31964958720
V,498404360192
VMC,29717397504
WAB,19668785152
WBA,25051834368
WMT,426007265280
WBD,31693793280
WM,69728428032
WAT,15630325760
WEC,28174655488
WFC,162846343168
WELL,40493117440
WST,28088201216
WDC,12320773120
WRK,7507170304
WY,24561209344
WHR,8167688704
WMB,39859175424
WTW,24845305856
GWW,39258685440
WYNN,12133143552
XEL,34661416960
XYL,26771654656
YUM,38447546368
ZBRA,15237254144
ZBH,29754376192
ZION,4167561728
ZTS,78665326592
